,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,0.014,36.91,0.455,36.8,89,0,5.48E-06,3.84E-05,0.000652201,1.10E-05,0.000783738,0,5.48E-06,8.77E-05,0.002427943,0,5.48E-05,1.64E-05,0.000115094,0.000104133,0.000131536,0.000169901,5.48E-05,0.000175382,0.000411051,2.19E-05,3.29E-05,0.265266648,-0.379627247
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,0.005,27.77,0.42,83.08,93,0.000206902,0.000155177,0.00016897,0.001675908,0,0.000591396,1.72E-06,0.000232765,7.41E-05,0.000800022,0,2.41E-05,3.45E-05,0.001213827,0.00011552,0.000703468,0.00078278,0.000677605,0.001432798,0.000177591,0.000212075,0.000324147,0.166334049,-0.64610529
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,0.045,42.74,0.486,43.08,88,0.000781173,6.33E-05,0.000126677,0.007670978,0,0.001984602,0,4.93E-05,6.33E-05,0.000900812,0,0,0,0.000767098,0.000260391,0.000197053,0.003624361,0.00055597,0.000865624,7.74E-05,0.000218165,0.000844511,0.397759877,-0.031511313
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,0.031,47.7,0.456,19.86,94,0,1.15E-05,3.44E-05,0.002483096,0,0.00078695,0,0,0,0.001405814,0,3.82E-06,0,0.000145166,1.15E-05,2.67E-05,0.000744929,0,0.000225389,9.17E-05,0,7.64E-06,0.350235673,0.698083039
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,0.02,37.59,0.393,44.11,90,1.45E-05,1.99E-05,4.52E-05,0.002187907,1.81E-06,0.000459659,0,3.62E-06,5.79E-05,0.001755392,1.81E-06,1.81E-06,0,0.000957322,3.80E-05,0.000441563,0.001011613,0.000215352,0.000908461,0.000255165,7.24E-06,4.71E-05,0.212507249,0.515475244
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,0.012,46.74,0.263,51.43,89,1.79E-05,1.49E-05,1.19E-05,0.002800037,1.49E-05,0.00156814,0,0.000157707,0.000339218,0.002416185,2.98E-06,8.93E-05,8.93E-06,0.000675461,0.000214243,0.000205316,0.000595119,0.000246975,0.000853996,0.000639753,3.87E-05,6.55E-05,0.19051142,0.444584306
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,0.008,31.41,0.449,48.64,88,0,0,0,0.000930164,0,0.002594669,0,0,0.00024478,0.002539593,0,0.000134629,0,6.12E-05,6.12E-06,6.73E-05,0.000116271,3.06E-05,0.000165227,3.67E-05,6.12E-06,0,0.341106004,-0.2000446
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,0.014,58.11,0.436,23.87,101,8.61E-05,0,0.000133814,0.000907553,1.32E-06,0.000103342,0,0,3.71E-05,0.000527308,5.30E-06,9.27E-06,1.32E-05,0.000479612,1.85E-05,0.000102017,0.000177536,1.19E-05,0.000278228,9.27E-06,1.32E-05,4.37E-05,0.237640552,-0.062412804
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,0.018,46.4,0.44,48.13,87,6.97E-05,5.36E-06,0,0.00073436,0,0.001366874,0,0.000209051,0.000278735,0.004304314,4.29E-05,0.000128647,0,0.001072058,0.000273375,0.000514588,0.000879088,0.00055211,0.000954132,0.001323992,0.000112566,0.000230493,0.227302681,-0.304650896
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,0.04,55.78,0.541,17.64,99,5.45E-05,2.72E-05,0.000163488,0.00599455,0,0.000708447,0,0.000408719,8.17E-05,0.000653951,0,0,0,0,0,0.000435967,0.00027248,0.000299728,0.001307902,0.000190736,2.72E-05,2.72E-05,0.33962459,-0.70285944
