,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,182459,0.048,0.244,0.014,36.91,38.46,33.03,0.0965,0.455,0.3143,0.021561008,0.020843039,0.019078259,0.01828904,0,0.000284996,0.021155438,0.021500721,0.019719499,0.018782302,0.00521213,0.015565141,0.007130369,36.8,67,0.479,89,0,5.48E-06,3.84E-05,0.000652201,0.000169901,5.48E-05,0.000175382,0.000411051,2.19E-05,3.29E-05,-0.178566485
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,579984,0.017,0.089,0.005,27.77,28.88,24.8,0.0645,0.42,0.1577,0.01941088,0.016831499,0.016305622,0.016364245,0.012217578,0.000129314,0.017595313,0.017179784,0.016784946,0.016817705,0.005608775,0.0146073,0.006200171,83.08,85.05,0.551,93,0.000206902,0.000155177,0.00016897,0.001675908,0.00078278,0.000677605,0.001432798,0.000177591,0.000212075,0.000324147,-0.188544135
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,142094,0.118,0.433,0.045,42.74,38.91,35.8,0.0889,0.486,0.2922,0.0259828,0.022435852,0.020613115,0.019944544,0,0.00052782,0.021957296,0.022654018,0.02077498,0.02004307,0.012716934,0.00909961,0.009444452,43.08,77.51,0.442,88,0.000781173,6.33E-05,0.000126677,0.007670978,0.003624361,0.00055597,0.000865624,7.74E-05,0.000218165,0.000844511,-0.165532093
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,261770,0.088,0.358,0.031,47.7,46.86,41.35,0.0863,0.456,0.4812,0.028169767,0.026863277,0.02512511,0.024808038,0,1.53E-05,0.026790694,0.026863277,0.02512511,0.024808038,0.00907285,0.015666425,0.008667915,19.86,55.73,0.422,94,0,1.15E-05,3.44E-05,0.002483096,0.000744929,0,0.000225389,9.17E-05,0,7.64E-06,-0.138214129
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,552583,0.059,0.251,0.02,37.59,42.01,34.92,0.0798,0.393,0.4472,0.025058679,0.02350959,0.022992021,0.022812863,0.015813009,0.000436134,0.024515774,0.02350959,0.022986592,0.022644562,0.005029109,0.010085363,0.013626912,44.11,69.25,0.485,90,1.45E-05,1.99E-05,4.52E-05,0.002187907,0.001011613,0.000215352,0.000908461,0.000255165,7.24E-06,4.71E-05,-0.145051454
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,133274,0.152,0.53,0.059,41.8,32.6,33.06,0.0904,0.478,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,80.24,0.436,91,0,0,0,0,0,0,0,0,0,0,-4.235896871
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,336067,0.038,0.188,0.012,46.74,20.85,33.38,0.0768,0.263,0.1539,0.025358039,0.024512969,0.023453657,0.023459608,0,0.000110097,0.02576272,0.025119991,0.024212434,0.024102337,0.007084897,0.012952774,0.013413992,51.43,69.25,0.461,89,1.79E-05,1.49E-05,1.19E-05,0.002800037,0.000595119,0.000246975,0.000853996,0.000639753,3.87E-05,6.55E-05,-0.1477058
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,163412,0.029,0.159,0.008,31.41,31.59,27.57,0.0711,0.449,0.1827,0.021791545,0.020555406,0.019313147,0.018952097,0,6.73E-05,0.020959293,0.021962891,0.020885859,0.020335104,0.009007906,0.012930507,0.01116809,48.64,76.42,0.517,88,0,0,0,0.000930164,0.000116271,3.06E-05,0.000165227,3.67E-05,6.12E-06,0,-0.17184243
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,754777,0.046,0.231,0.014,58.11,27.74,41.72,0.0731,0.436,0.1188,0.022029023,0.020254989,0.019293116,0.018368339,0.001801857,0.000369646,0.020466972,0.020440474,0.019485225,0.018567073,0.018287521,0.007680414,0.017634348,23.87,75,0.431,101,8.61E-05,0,0.000133814,0.000907553,0.000177536,1.19E-05,0.000278228,9.27E-06,1.32E-05,4.37E-05,-0.166689127
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,186557,0.057,0.26,0.018,46.4,33.07,35.7,0.0761,0.44,0.2215,0.02166094,0.019795558,0.018739581,0.019141603,0,0.000396662,0.021489411,0.021060587,0.020090375,0.020567441,0.0110154,0.006845093,0.011996334,48.13,81.43,0.459,87,6.97E-05,5.36E-06,0,0.00073436,0.000879088,0.00055211,0.000954132,0.001323992,0.000112566,0.000230493,-0.175759169
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,36700,0.11,0.428,0.04,55.78,44.63,44.56,0.1448,0.541,0.3516,0.018228883,0.019782016,0.017111717,0.016021798,0,0.001008174,0.016975477,0.019536785,0.017166213,0.016021798,0.014577657,0.004822888,0.012016349,17.64,69.69,0.401,99,5.45E-05,2.72E-05,0.000163488,0.00599455,0.00027248,0.000299728,0.001307902,0.000190736,2.72E-05,2.72E-05,-0.190669162
Doti,5.19E-05,0.080417104,0.617848743,0.203635488,0.000420315,0.000255023,0.012141906,0,0.036184863,0.004278711,0.000547826,0.005393254,0.000406147,0.036600455,0.001818216,211746,0.135,0.489,0.052,52.32,47.02,43.57,0.094,0.576,0.3645,0.028165821,0.027414922,0.025020543,0.024260199,0,0.001412069,0.02508666,0.028104427,0.025761998,0.02524723,0.015211621,0.01075345,0.012718068,23.31,79.96,0.407,85,8.03E-05,0.000420315,0.000118066,0.002488831,0.000136957,6.14E-05,0.000132234,0.001251499,1.89E-05,2.36E-05,-0.132731472
Gorkha,6.64E-05,0.152102294,0.1291997,0.162634979,7.38E-05,0.000206596,0.001313358,0.000431637,0.324974821,0.13738605,0.011274215,0.077672553,0.000129122,0.001663832,0.000870653,271061,0.049,0.204,0.018,41.83,34.23,33.58,0.0657,0.313,0.3716,0.021578169,0.02041238,0.019449497,0.019681917,0,0.000376299,0.019929093,0.020135689,0.019490078,0.019556484,0.007352589,0.007581319,0.009591937,44.15,70.11,0.481,81,0.000121744,1.84E-05,2.95E-05,0.000730463,0.001597426,0.00032465,0.009473882,0.001368696,0.000114365,2.95E-05,-0.181610053
Gulmi,0.000217733,0.253130354,0.255821673,0.206871074,0,0.000124929,0.000831668,0.000328384,0.226456311,0.034908624,0.001538407,0.01769703,0,0.001424186,0.000649629,280160,0.059,0.256,0.02,34.42,27.36,27.42,0.0826,0.433,0.1142,0.025628212,0.023461593,0.022248001,0.02266205,0,0.00011779,0.026363507,0.024396773,0.023650771,0.023875642,0.003983438,0.019078384,0.016094375,67.03,77.85,0.464,76,9.99E-05,8.21E-05,1.43E-05,0.007702741,0.003933467,0.000221302,0.002248715,0.000339092,0.000139206,0.000478298,-0.146165862
Humla,0,0.064316332,0.584018247,0.156946793,0,0,0.002752763,0,0.004876322,0.183157025,0.000216288,0.000511227,0,0.001926934,0.001278068,50858,0.166,0.56,0.067,62.78,47.88,49.26,0.116,0.657,0.3005,0.027527626,0.02794054,0.023182194,0.02125526,0,0.002929726,0.025364741,0.028766369,0.022867592,0.021373235,0.019996854,0.001828621,0.015808722,25.83,48.4,0.376,103,1.97E-05,0,0.000196626,0.009772307,0.000865154,0.000373589,0.000511227,0.000845491,1.97E-05,0.001238743,-0.140607076
Ilam,9.99E-05,0.138981719,0.144631943,0.054149125,0.000275621,0.000306628,0.002776878,0.000423767,0.516964452,0.094789391,0.000778628,0.036633431,0.001257519,0.005109318,0.002821667,290254,0.012,0.073,0.003,26.54,34.05,26.96,0.0842,0.461,0.22,0.023283056,0.02193596,0.021243463,0.021271025,0,0.000365197,0.022876515,0.023327844,0.022700807,0.022525099,0.004392704,0.016399429,0.006404735,67.97,68.23,0.526,95,0,3.45E-06,2.07E-05,0.000599475,0.000933665,0.000354862,0.000737285,0.000175708,1.38E-05,0.000175708,-0.165126429
Jajarkot,0,0.046181058,0.566886938,0.288247793,6.42E-05,0.001004063,0.001138327,0,0.091375566,0.000863961,0,0.001838836,0,0.001611171,0.000788073,171304,0.09,0.377,0.031,53.08,47.6,44.2,0.115,0.513,0.4391,0.027185588,0.025533554,0.022556391,0.024792182,0,0.001827161,0.027991174,0.029269603,0.025988885,0.028253864,0.024371877,0.003403306,0.023677205,25.25,77.05,0.393,100,0,0,2.34E-05,0.000980713,0.001412693,7.59E-05,0.000233503,5.84E-06,1.17E-05,0.000110914,-0.12074973
Jhapa,0.000110749,0.237847782,0.171364056,0.055203347,0.006093644,0.008067434,0.03207654,0.006142866,0.157701347,0.047166677,0.031990402,0.032769335,0.011058881,0.010512521,0.191894419,812650,0.019,0.106,0.005,30.08,14.84,21.82,0.0876,0.242,0.0549,0.024740048,0.024737587,0.024733895,0.024737587,0.014568387,0.005110441,0.024742509,0.024737587,0.024737587,0.024737587,0.010596198,0.017404787,0.012092537,57.14,81.25,0.518,90,2.46E-06,4.92E-06,0.000183351,0.002479542,0.001284686,0.000163662,0.000791239,7.01E-05,3.94E-05,0.000167354,-0.12622691
Jumla,0,0.109473839,0.687626812,0.169636709,0,0,0.0098879,0,0.005912542,0.011825084,0.001019087,0.001854555,0,0.001661755,0.001101716,108921,0.131,0.49,0.049,55.57,37.03,42.09,0.1103,0.541,0.1996,0.025798515,0.023989864,0.020455192,0.021061136,0,0.001588307,0.024118398,0.024246931,0.020914241,0.02185988,0.019656448,0.00246968,0.016672634,37.21,87.95,0.409,102,0,0,2.75E-05,0.001009906,0,0,2.75E-05,9.18E-06,9.18E-06,0,-0.152830434
Kailali,0.000109577,0.124091637,0.256349997,0.119112966,0.00168491,0.000840521,0.009213507,0.000648439,0.040573205,0.006628774,0.006352898,0.003944778,0.000876617,0.013713906,0.415858266,775709,0.084,0.336,0.03,41.14,18.75,29.49,0.09,0.314,0.061,0.020245994,0.019071585,0.018496627,0.017578757,0.015171927,0.000287479,0.019406762,0.019859251,0.019243041,0.018381893,0.007430622,0.008539285,0.006370946,39.2,88.63,0.46,95,0.000167589,3.09E-05,0.000128914,0.002266314,0.000302949,0.000145673,0.000402213,0.000327442,2.32E-05,6.57E-05,-0.177831851
Kalikot,0,0.171086836,0.548945585,0.260529544,0,0,0.005994976,0,0.00414756,0.006089903,0.000197155,0.00028478,0,0.001942343,0.000781318,136948,0.168,0.579,0.066,54.7,48.04,45.2,0.1338,0.541,0.4199,0.025301574,0.024980284,0.020628268,0.019978386,0,0.00314718,0.02174548,0.022833484,0.020861933,0.020146333,0.020730496,0.000912755,0.013012238,21.86,79.08,0.374,101,5.84E-05,0.000313988,0.000299384,0.001964249,0.000467331,0.000167947,0.000445425,3.65E-05,4.38E-05,0.000124135,-0.159360257
Kanchanpur,0.000352356,0.159635057,0.360154505,0.119049835,0.000742386,0.000374517,0.008868737,0.000104156,0.033668847,0.016764617,0.001021611,0.002555136,0.000485321,0.03850211,0.25772081,451248,0.08,0.314,0.029,36.96,17.51,26.6,0.0852,0.317,0.0332,0.021265468,0.020664912,0.019499255,0.019357427,0.01516461,0.000494185,0.020551892,0.020791228,0.01970535,0.019658813,0.008175105,0.008542974,0.005803904,33.85,82.17,0.475,92,3.55E-05,1.11E-05,5.98E-05,0.001409425,7.76E-05,8.86E-05,7.76E-05,0.000115236,6.65E-06,2.22E-06,-0.170509439
Kapilbastu,0.000480823,0.085383679,0.053140561,0.026641093,0.01561888,0.096412885,0.262856334,0.081051027,0.039546383,0.003624531,0.181586751,0.003493398,0.005588038,0.020208555,0.124367062,571936,0.089,0.355,0.032,52.9,26.76,38.26,0.0924,0.487,0.0482,0.02368272,0.020691126,0.019811657,0.019301111,0.016365467,0.00081128,0.02108103,0.021278605,0.02036067,0.019818651,0.009467843,0.016760617,0.020444595,21.78,81.01,0.432,100,0,3.50E-05,0.00012414,0.003052789,0.000403891,6.64E-05,0.000571742,0.000103158,5.42E-05,3.85E-05,-0.147452437
Kaski,0.000967287,0.2780625,0.168513182,0.150346069,0.000780332,0.000857553,0.010926685,0.000790493,0.282819682,0.035712399,0.008994143,0.04857569,0.001052636,0.005399331,0.006202017,492098,0.008,0.04,0.003,21.43,15.22,16.5,0.0459,0.229,0.0755,0.020093559,0.017449776,0.016555645,0.017004743,6.10E-06,0.000233693,0.017484322,0.017618442,0.016555645,0.017083995,0.004228832,0.006754752,0.00559035,87.47,92.23,0.576,92,6.91E-05,1.63E-05,0.000132088,0.000869745,0.006078058,0.001207077,0.00417803,0.001505798,0.000396263,0.006218274,-0.203350335
Kathmandu,0.000972343,0.235131633,0.21724304,0.02242352,0.003302871,0.001493487,0.019957116,0.001019928,0.115240449,0.120857795,0.012501147,0.219657845,0.009486653,0.007793079,0.012919094,1744240,0.015,0.076,0.005,15.96,31,22.45,0.0439,0.32,0.3,0.02090882,0.015142985,0.014425767,0.014291611,2.06E-05,0.000169701,0.015548892,0.01519401,0.014551897,0.014393661,0.012332019,0.001006169,0.010815025,93.77,93.2,0.632,110,6.42E-05,0.000590515,3.96E-05,0.001531899,0.000273472,0.000166262,0.000929918,0.000130716,9.75E-05,0.000293538,-0.209350187
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,381937,0.025,0.139,0.007,37.23,21.14,27.34,0.0623,0.217,0.2058,0,0,0,0,0,0,0,0,0,0,0,0,0,71.2,81.69,0.52,92,0,0,0,0,0,0,0,0,0,0,-4.235896871
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,206312,0.05,0.25,0.015,38.02,27.71,29.47,0.0815,0.336,0.2183,0.025238474,0.022839195,0.021079724,0.020861608,0,0.000455621,0.02366319,0.022538679,0.020299352,0.020541704,0.01575284,0.012941564,0.014182403,18.14,75.97,0.494,89,2.91E-05,1.94E-05,0,0.000494397,0.001759471,0.000455621,0.000610726,0.000145411,0.000198728,0.000101788,-0.154690915
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,468132,0.015,0.076,0.005,20.32,23.34,19.18,0.0403,0.162,0.3048,0.021993797,0.016728188,0.015749831,0.017204549,0.004503003,0,0.015993352,0.016728188,0.015749831,0.017204549,0.001892629,0.00476575,0.001894765,83.69,89.33,0.601,103,0,0,0,0,0,0,0,0,0,0,-0.208123111
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,167724,0.039,0.168,0.013,36.38,21.94,26.98,0.057,0.322,0.1168,0.02180964,0.020843767,0.020259474,0.020301209,0,0.000166941,0.020998784,0.021654623,0.024206434,0.020867616,0.014660991,0.004525292,0.013736853,56.19,89.2,0.507,83,0,5.96E-06,1.19E-05,0.000488898,0.001848275,0.000101357,0.001884048,0.001305717,0,0.000351768,-0.167183379
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,627580,0.035,0.162,0.011,62.96,26.59,44.75,0.0755,0.436,0.0958,0.024683706,0.022229835,0.021168616,0.021390102,0.013754422,0.000313904,0.022594729,0.022229835,0.021168616,0.021576532,0.022642532,0.003341407,0.024986456,17.11,77.69,0.388,98,1.75E-05,3.19E-06,0.000312311,0.001587049,0.000138628,3.19E-05,0.00011632,6.37E-06,1.27E-05,2.87E-05,-0.138134033
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,420477,0.073,0.279,0.027,38.21,23.32,28.44,0.0794,0.251,0.2155,0.02104039,0.020372101,0.019187732,0.018552739,0,0.00083001,0.019946394,0.020885804,0.019744243,0.019161571,0.010740183,0.004849255,0.009565327,48.05,72.12,0.497,97,2.62E-05,4.76E-06,6.90E-05,0.001586294,0.000494676,1.19E-05,0.000454246,0.001391277,0,0.000554133,-0.181808327
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,6538,0.099,0.369,0.038,29.18,28.56,25.52,0.1202,0.547,0.0242,0.013612726,0.01315387,0.010247782,0.009635974,0,0.000305904,0.010247782,0.013000918,0.011318446,0.00933007,0.007800551,0.00076476,0.007035791,45.59,96.08,0.568,127,0,0,0,0.002141328,0,0.000917712,0.000611808,0.000152952,0,0,-0.241680591
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,965370,0.033,0.165,0.01,35.09,17.29,25.32,0.07,0.315,0.0308,0.022910387,0.020506127,0.019558304,0.019669142,0.013495344,8.70E-05,0.020099029,0.020862467,0.019944684,0.020032734,0.005766701,0.013334784,0.007881952,46.49,85.76,0.513,94,9.63E-05,3.73E-05,0.000122233,0.002033417,0.001301056,0.000411241,0.001486477,0.000841128,0.000540725,0.00021339,-0.167094019
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,55286,0.125,0.471,0.047,60.75,37.44,45.22,0.0941,0.502,0.2468,0.027945592,0.028542488,0.023821582,0.018268639,0,0.009206671,0.020819014,0.038906776,0.031490793,0.017671743,0.017309988,0.004413414,0.010545165,24.38,81.26,0.397,103,0,0,0,0.007506421,0.000434106,3.62E-05,0.000560721,1.81E-05,5.43E-05,0,-0.132895728
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,13452,0.109,0.4,0.042,38.65,31.51,31.16,0.1202,0.547,0.0832,0.014272971,0.014570324,0.013306572,0.011968481,0,0.00044603,0.013975617,0.014570324,0.013306572,0.011968481,0.008400238,0.004385965,0.011150758,0,0,0.508,112,0,0,0,0.001932798,0.000892061,0.000520369,0.000743384,0.000297354,0,0.000371692,-0.221931318
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,113641,0.073,0.286,0.027,34.84,30.03,28.54,0.0727,0.475,0.1256,0.028009257,0.025070177,0.023979022,0.024128616,0,0.000633574,0.025017379,0.024067018,0.023380646,0.023600637,0.014616204,0.015856953,0.016252937,0,0,0.49,83,2.64E-05,8.80E-06,3.52E-05,0.000835966,0.000651173,0.000140794,0.00049278,2.64E-05,2.64E-05,3.52E-05,-0.136201133
