,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Doti,5.19E-05,0.080417104,0.617848743,0.203635488,0.000420315,0.000255023,0.012141906,0,0.036184863,0.004278711,0.000547826,0.005393254,0.000406147,0.036600455,0.001818216,0.052,52.32,0.576,23.31,85,8.03E-05,0.000420315,0.000118066,0.002488831,0.000136957,6.14E-05,0.000132234,0.001251499,1.89E-05,2.36E-05,0.432519165,-0.118780397
Gorkha,6.64E-05,0.152102294,0.1291997,0.162634979,7.38E-05,0.000206596,0.001313358,0.000431637,0.324974821,0.13738605,0.011274215,0.077672553,0.000129122,0.001663832,0.000870653,0.018,41.83,0.313,44.15,81,0.000121744,1.84E-05,2.95E-05,0.000730463,0.001597426,0.00032465,0.009473882,0.001368696,0.000114365,2.95E-05,0.196927008,-0.168850158
Gulmi,0.000217733,0.253130354,0.255821673,0.206871074,0,0.000124929,0.000831668,0.000328384,0.226456311,0.034908624,0.001538407,0.01769703,0,0.001424186,0.000649629,0.02,34.42,0.433,67.03,76,9.99E-05,8.21E-05,1.43E-05,0.007702741,0.003933467,0.000221302,0.002248715,0.000339092,0.000139206,0.000478298,0.225135283,-0.132542185
Humla,0,0.064316332,0.584018247,0.156946793,0,0,0.002752763,0,0.004876322,0.183157025,0.000216288,0.000511227,0,0.001926934,0.001278068,0.067,62.78,0.657,25.83,103,1.97E-05,0,0.000196626,0.009772307,0.000865154,0.000373589,0.000511227,0.000845491,1.97E-05,0.001238743,0.403429706,-0.12684793
Ilam,9.99E-05,0.138981719,0.144631943,0.054149125,0.000275621,0.000306628,0.002776878,0.000423767,0.516964452,0.094789391,0.000778628,0.036633431,0.001257519,0.005109318,0.002821667,0.003,26.54,0.461,67.97,95,0,3.45E-06,2.07E-05,0.000599475,0.000933665,0.000354862,0.000737285,0.000175708,1.38E-05,0.000175708,0.320790052,-0.151964824
Jajarkot,0,0.046181058,0.566886938,0.288247793,6.42E-05,0.001004063,0.001138327,0,0.091375566,0.000863961,0,0.001838836,0,0.001611171,0.000788073,0.031,53.08,0.513,25.25,100,0,0,2.34E-05,0.000980713,0.001412693,7.59E-05,0.000233503,5.84E-06,1.17E-05,0.000110914,0.414939428,-0.106506657
Jhapa,0.000110749,0.237847782,0.171364056,0.055203347,0.006093644,0.008067434,0.03207654,0.006142866,0.157701347,0.047166677,0.031990402,0.032769335,0.011058881,0.010512521,0.191894419,0.005,30.08,0.242,57.14,90,2.46E-06,4.92E-06,0.000183351,0.002479542,0.001284686,0.000163662,0.000791239,7.01E-05,3.94E-05,0.000167354,0.15640139,-0.112117317
Jumla,0,0.109473839,0.687626812,0.169636709,0,0,0.0098879,0,0.005912542,0.011825084,0.001019087,0.001854555,0,0.001661755,0.001101716,0.049,55.57,0.541,37.21,102,0,0,2.75E-05,0.001009906,0,0,2.75E-05,9.18E-06,9.18E-06,0,0.513872782,-0.139369174
Kailali,0.000109577,0.124091637,0.256349997,0.119112966,0.00168491,0.000840521,0.009213507,0.000648439,0.040573205,0.006628774,0.006352898,0.003944778,0.000876617,0.013713906,0.415858266,0.03,41.14,0.314,39.2,95,0.000167589,3.09E-05,0.000128914,0.002266314,0.000302949,0.000145673,0.000402213,0.000327442,2.32E-05,6.57E-05,0.270263804,-0.164979881
Kalikot,0,0.171086836,0.548945585,0.260529544,0,0,0.005994976,0,0.00414756,0.006089903,0.000197155,0.00028478,0,0.001942343,0.000781318,0.066,54.7,0.541,21.86,101,5.84E-05,0.000313988,0.000299384,0.001964249,0.000467331,0.000167947,0.000445425,3.65E-05,4.38E-05,0.000124135,0.398582336,-0.146058129
Kanchanpur,0.000352356,0.159635057,0.360154505,0.119049835,0.000742386,0.000374517,0.008868737,0.000104156,0.033668847,0.016764617,0.001021611,0.002555136,0.000485321,0.03850211,0.25772081,0.029,36.96,0.317,33.85,92,3.55E-05,1.11E-05,5.98E-05,0.001409425,7.76E-05,8.86E-05,7.76E-05,0.000115236,6.65E-06,2.22E-06,0.238771843,-0.15747902
Kapilbastu,0.000480823,0.085383679,0.053140561,0.026641093,0.01561888,0.096412885,0.262856334,0.081051027,0.039546383,0.003624531,0.181586751,0.003493398,0.005588038,0.020208555,0.124367062,0.032,52.9,0.487,21.78,100,0,3.50E-05,0.00012414,0.003052789,0.000403891,6.64E-05,0.000571742,0.000103158,5.42E-05,3.85E-05,0.146496169,-0.133860114
Kaski,0.000967287,0.2780625,0.168513182,0.150346069,0.000780332,0.000857553,0.010926685,0.000790493,0.282819682,0.035712399,0.008994143,0.04857569,0.001052636,0.005399331,0.006202017,0.003,21.43,0.229,87.47,92,6.91E-05,1.63E-05,0.000132088,0.000869745,0.006078058,0.001207077,0.00417803,0.001505798,0.000396263,0.006218274,0.21221325,-0.191120255
Kathmandu,0.000972343,0.235131633,0.21724304,0.02242352,0.003302871,0.001493487,0.019957116,0.001019928,0.115240449,0.120857795,0.012501147,0.219657845,0.009486653,0.007793079,0.012919094,0.005,15.96,0.32,93.77,110,6.42E-05,0.000590515,3.96E-05,0.001531899,0.000273472,0.000166262,0.000929918,0.000130716,9.75E-05,0.000293538,0.180008096,-0.197266325
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,0.007,37.23,0.217,71.2,92,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,0.015,38.02,0.336,18.14,89,2.91E-05,1.94E-05,0,0.000494397,0.001759471,0.000455621,0.000610726,0.000145411,0.000198728,0.000101788,0.293475553,-0.141274995
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,0.005,20.32,0.162,83.69,103,0,0,0,0,0,0,0,0,0,0,0.20168732,-0.196009344
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,0.013,36.38,0.322,56.19,83,0,5.96E-06,1.19E-05,0.000488898,0.001848275,0.000101357,0.001884048,0.001305717,0,0.000351768,0.23285796,-0.154071903
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,0.011,62.96,0.436,17.11,98,1.75E-05,3.19E-06,0.000312311,0.001587049,0.000138628,3.19E-05,0.00011632,6.37E-06,1.27E-05,2.87E-05,0.203362002,-0.124314619
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,0.027,38.21,0.251,48.05,97,2.62E-05,4.76E-06,6.90E-05,0.001586294,0.000494676,1.19E-05,0.000454246,0.001391277,0,0.000554133,0.337102435,-0.169053264
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,0.038,29.18,0.547,45.59,127,0,0,0,0.002141328,0,0.000917712,0.000611808,0.000152952,0,0,0.407286072,-0.230384626
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,0.01,35.09,0.315,46.49,94,9.63E-05,3.73E-05,0.000122233,0.002033417,0.001301056,0.000411241,0.001486477,0.000841128,0.000540725,0.00021339,0.109966201,-0.153980365
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,0.047,60.75,0.502,24.38,103,0,0,0,0.007506421,0.000434106,3.62E-05,0.000560721,1.81E-05,5.43E-05,0,0.461501191,-0.118948655
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,0.042,38.65,0.547,0,112,0,0,0,0.001932798,0.000892061,0.000520369,0.000743384,0.000297354,0,0.000371692,0.331389052,-0.210154059
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,0.027,34.84,0.475,0,83,2.64E-05,8.80E-06,3.52E-05,0.000835966,0.000651173,0.000140794,0.00049278,2.64E-05,2.64E-05,3.52E-05,0.306933283,-0.122334613
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,0.013,36.25,0.389,47.57,89,2.80E-05,4.66E-06,0.000153844,0.00013675,0.000402481,0.000265731,0.000295257,7.46E-05,1.09E-05,1.55E-05,0.127235245,-0.159664844
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,0.013,49.41,0.371,31.15,92,2.52E-05,2.16E-05,1.44E-05,0.002176804,0.000288318,6.49E-05,0.000172991,2.16E-05,1.44E-05,1.44E-05,0.269428947,-0.163561692
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,0.012,43.86,0.567,52.2,87,6.76E-06,0,2.70E-05,0.000385177,0.00422343,0.000175695,0.01196751,0.003730133,0.000121635,0.001770462,0.212588717,-0.155453452
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,0.018,29.18,0.359,0,80,0.000704495,0.000352247,9.19E-05,0.000436481,0.014346428,0.000168466,0.00497741,0.002251321,0.00015698,0.000417337,0.339989388,-0.154790496
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,0.005,33.09,0.569,62.9,89,2.61E-05,0.000218959,0.000234599,0.001131287,0.000291945,4.69E-05,0.000427491,5.21E-06,3.65E-05,4.17E-05,0.418616278,-0.143979744
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,0.008,32.43,0.262,75.35,80,8.19E-05,0.009946108,0.00276963,0.007913227,0.001937376,8.87E-05,0.001002797,0.00011597,0.000184187,6.82E-05,0.252389075,-0.168546085
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,0.025,51.31,0.372,25.49,108,0,0,0,0,0,0,0,0,0,0,0.200490091,-0.214177502
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,0.028,41.99,0.484,21.03,78,0,0,4.38E-06,0.001030241,0.001012705,5.26E-05,0.000135904,0.000464704,0,0,0.263923552,-0.090587528
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,0.018,47.9,0.444,31.27,85,1.48E-05,0,1.48E-05,0.00060697,0.000759946,5.43E-05,0.003089131,0.00016778,4.93E-05,9.87E-05,0.212011652,-0.173666433
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,0.024,58.68,0.45,41.89,98,0,0,0,0.002170901,0.00034642,2.31E-05,0.000138568,4.62E-05,2.31E-05,4.62E-05,0.536162552,-0.149205495
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,0.029,66.11,0.397,17.58,105,0.000149988,3.35E-05,0.000117952,0.001425613,5.82E-05,1.60E-05,0.000161637,4.95E-05,2.33E-05,2.77E-05,0.23964848,-0.122157783
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,0.018,49.26,0.513,20.41,85,0,0,1.78E-05,0.001362993,0.000556778,2.67E-05,0.000267253,4.01E-05,3.12E-05,4.90E-05,0.35755346,-0.119871594
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,0.019,49.19,0.513,20.32,91,0.001006871,4.79E-05,0.000139044,0.003509664,0.002435668,0.000254115,0.000680836,0.000604122,7.67E-05,0.000230142,0.358952717,-0.129973173
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,0.014,35.61,0.377,48.74,96,0,0,0,0,0,0,0,0,0,0,0.113513106,-0.138702028
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,0.021,44.5,0.541,16.37,92,8.25E-06,0,1.24E-05,0.003031628,0.001546749,4.54E-05,0.000284602,4.54E-05,1.65E-05,1.24E-05,0.463024493,-0.146404953
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,0.012,36.84,0.474,53.39,90,1.26E-05,6.30E-06,1.26E-05,0.000648852,0.001127616,0.000220484,0.000774842,0.000346474,0.000144889,8.82E-05,0.295643157,-0.162700492
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,0.036,54.56,0.334,19.01,96,2.50E-05,0,5.94E-05,0.001349948,0.000137654,9.39E-06,0.00039732,1.25E-05,2.66E-05,6.26E-06,0.217936324,-0.133145237
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,0.011,62,0.377,17.47,103,7.79E-06,6.24E-05,0.000193575,0.002528163,3.25E-05,6.50E-06,6.50E-05,6.89E-05,2.60E-05,5.20E-06,0.230200405,-0.14613871
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,0.036,48.92,0.363,21.01,92,4.73E-05,2.70E-05,0.000243086,0.001131023,0.000276847,4.39E-05,0.000270095,5.74E-05,2.36E-05,4.05E-05,0.236720407,-0.158168633
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,0.017,50.49,0.466,33.85,93,3.47E-06,3.47E-06,1.39E-05,0.00188674,0.000569844,7.64E-05,0.000211954,0.00014941,3.13E-05,5.56E-05,0.259059954,-0.17252853
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,0.027,60.04,0.397,18.47,95,3.92E-05,0,0.000106695,0.000541323,0.0001977,8.94E-05,0.000359313,0.0001318,9.89E-05,0.0001318,0.277325848,-0.115255793
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,0.019,42.49,0.476,39.64,94,1.89E-05,2.83E-05,0,0.004193189,0.000273879,8.50E-05,0.000651644,0.002124927,9.44E-06,0.000132218,0.348321265,-0.177471511
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,0.006,37.12,0.294,51.33,95,2.62E-06,0,6.68E-05,0.000373287,5.24E-05,3.93E-06,0.000280293,1.05E-05,3.93E-06,3.93E-06,0.114518179,-0.15346292
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,0.026,33,0.579,36.53,93,2.28E-05,1.14E-05,2.57E-05,0.00690414,0.000564418,7.70E-05,0.000444693,0.000313565,2.57E-05,0.000111173,0.266722008,-0.138308178
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,0.007,29.63,0.391,68.4,77,6.92E-06,0.0002663,3.46E-05,0.003330474,0.001905599,0.000383886,0.001352249,0.000200589,4.50E-05,0.000152171,0.251911596,-0.157413192
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,0.011,31.68,0.473,56.63,80,3.09E-05,1.86E-05,3.09E-05,0.000612457,0.000411398,7.42E-05,0.000417584,0.000126822,6.19E-05,0.000136102,0.253335941,-0.17023165
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,0.017,34.28,0.385,53.82,90,0,0,0,0.000604106,0.002165368,0.001145448,0.000360895,0.00058057,0.000196138,9.41E-05,0.419950335,-0.127369314
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,0.007,30.64,0.634,58.13,87,9.84E-06,1.97E-05,3.94E-05,0.000531616,0.001506246,2.95E-05,0.000443014,0.000108292,9.84E-05,2.95E-05,0.289165451,-0.151037746
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,0.019,39.3,0.3,25.7,89,1.89E-05,0,3.78E-05,0.001451822,0.0004409,0.000125972,0.000289735,0.000163763,2.52E-05,3.46E-05,0.19696134,-0.138187052
